LakeID,X,Y
0_2_1,408104.477039,7357048.832310
0_2_2,407973.619943,7355911.468820
0_9_1,416235.277210,7337487.591120
0_9_2,416541.671798,7338484.338050
1_58_1,516077.091311,7348568.221760
1_27_1,527701,7349220
1_99_1,457400.000000,7339467.000000
1_99_2,456241.000000,7339398.000000
